address,postal_code,capacity,city,close,cost_per_unit,country,latitude,longitude,open,payment_modes,staff,available,charger_type,"if_battery_swap_station,_no._of_dockets",id,vendor,charging_type,contact_number,name,coordinates,timing,no_of_chargers,station_type
"J Block, J67, Beriwala Bagh, Hari Nagar, Delhi-110064",110064.0,20,New Delhi,20:00:00,,India,28.6329,77.1133,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,HS Parking,"{'latitude': 28.6329, 'longitude': 77.1133}",08:00:00 - 20:00:00,10.0,Charging Station
"DSIIDC Complex,near police station kalyanpuri ,110091",110091.0,12,New Delhi,21:00:00,,India,28.6134,77.3171,09:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Prem Giri  Enterprises,"{'latitude': 28.6134, 'longitude': 77.3171}",09:00:00 - 21:00:00,6.0,Charging Station
Main Road hoshiyar pur metro pillar 227 sector 51 noida,201301.0,12,Noida,21:00:00,,India,28.584,77.3686,09:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Balaji Battery Dealer.,"{'latitude': 28.584, 'longitude': 77.3686}",09:00:00 - 21:00:00,6.0,Charging Station
"Mundraj niwas pocket 1 mayur vihar phase 3 ,gharoli ,delhi",110096.0,20,New Delhi,21:00:00,,India,28.6176,77.3329,09:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Mahesh E Rickshaw parking,"{'latitude': 28.6176, 'longitude': 77.3329}",09:00:00 - 21:00:00,10.0,Charging Station
"Balmiki mandir, 24 Quartar, Sadar Bazar, Delhi Cantt-110010",110010.0,40,New Delhi,20:00:00,,India,28.5965,77.1221,08:00:00,Cash/UPI,Staffed,20.0,,,,Battery Smart,Battery swapping,8055300400.0,Gautam Rickshaw Charging Centre,"{'latitude': 28.5965, 'longitude': 77.1221}",08:00:00 - 20:00:00,20.0,Charging Station
"91/27, street no. 2 ,doriwalan , ND 110005",110005.0,12,New Delhi,22:00:00,,India,28.6521,77.1943,07:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Sanjib parking,"{'latitude': 28.6521, 'longitude': 77.1943}",07:00:00 - 22:00:00,6.0,Charging Station
"Shop No. 5, Aitmadpur village, Main bypass road, Faridabad-121001",121001.0,20,Faridabad,19:00:00,,India,28.4509,77.3192,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Krishna Kripa Trading Company,"{'latitude': 28.4509, 'longitude': 77.3192}",08:00:00 - 19:00:00,10.0,Charging Station
"Gali no-16, Bhatta Road,Swaroop Nagar, Delhi-110042",110042.0,16,New Delhi,20:00:00,,India,28.7599,77.1569,08:00:00,Cash/UPI,Staffed,8.0,,,,Battery Smart,Battery swapping,8055300400.0,Gaba E Rickshaw Parking,"{'latitude': 28.7599, 'longitude': 77.1569}",08:00:00 - 20:00:00,8.0,Charging Station
"K S memorial school ,gharoli captain market delhi.",110096.0,36,New Delhi,21:00:00,,India,28.619,77.3295,09:00:00,Cash/UPI,Staffed,18.0,,,,Battery Smart,Battery swapping,8055300400.0,Jatinder E Rickshaw Parking,"{'latitude': 28.619, 'longitude': 77.3295}",09:00:00 - 21:00:00,18.0,Charging Station
"RZF-768/8, KH no. 44/1/10, Raj nagar- 2, palam colony, near pole no.-171 Delhi- 110077",110077.0,24,New Delhi,22:00:00,,India,28.5777,77.0777,08:00:00,Cash/UPI,Staffed,12.0,,,,Battery Smart,Battery swapping,8055300400.0,S K Motors,"{'latitude': 28.5777, 'longitude': 77.0777}",08:00:00 - 22:00:00,12.0,Charging Station
"F24 near primary school ghazipur delhi, 110096",110096.0,24,New Delhi,22:00:00,,India,28.6325,77.3195,07:00:00,Cash/UPI,Staffed,12.0,,,,Battery Smart,Battery swapping,8055300400.0,Rohit Chaudhary E Rickshaw Parking,"{'latitude': 28.6325, 'longitude': 77.3195}",07:00:00 - 22:00:00,12.0,Charging Station
"Plot no 131 A, KH No 511, Ranaji Enclave, Delhi-110052",110052.0,20,New Delhi,20:00:00,,India,28.6174,77.0146,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,MAK Tyson Swapping station,"{'latitude': 28.6174, 'longitude': 77.0146}",08:00:00 - 20:00:00,10.0,Charging Station
"17/122, subhash nagar , ND - 110027",110027.0,16,New Delhi,22:00:00,,India,28.6796,77.206,08:00:00,Cash/UPI,Staffed,8.0,,,,Battery Smart,Battery swapping,8055300400.0,Tarun Parking,"{'latitude': 28.6796, 'longitude': 77.206}",08:00:00 - 22:00:00,8.0,Charging Station
"D-1055 rajeev nagar shahibabad gzb, up- 201102",201102.0,20,Ghaziabad,23:00:00,,India,28.6959,77.3287,06:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Shreyashish Power Station,"{'latitude': 28.6959, 'longitude': 77.3287}",06:00:00 - 23:00:00,10.0,Charging Station
"kirpa ram complex, MG road , sector 17, Gurugram 122001",122001.0,40,Gurgaon,22:00:00,,India,28.4755,77.0604,09:00:00,Cash/UPI,Staffed,20.0,,,,Battery Smart,Battery swapping,8055300400.0,BIOHUB INNOVATION PVT LTD,"{'latitude': 28.4755, 'longitude': 77.0604}",09:00:00 - 22:00:00,20.0,Charging Station
"Sablu Garhi Road, Rashid Ali Gate near by 21 peer.",201102.0,20,New Delhi,23:00:00,,India,28.7632,77.2951,06:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Abrar Parking,"{'latitude': 28.7632, 'longitude': 77.2951}",06:00:00 - 23:00:00,10.0,Charging Station
"A-93, village gazipur near cantener depot gate no.-1, Delhi- 110096",110096.0,12,New Delhi,23:00:00,,India,28.6754,77.2012,06:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,S N Rickshaw Service,"{'latitude': 28.6754, 'longitude': 77.2012}",06:00:00 - 23:00:00,6.0,Charging Station
"63/1, Gali No. 36, Veer bazar road, Baprola, Nangli extension, Delhi -110041",110041.0,20,New Delhi,19:00:00,,India,28.6324,77.0192,07:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Maan Energy Station,"{'latitude': 28.6324, 'longitude': 77.0192}",07:00:00 - 19:00:00,10.0,Charging Station
"SD-88 ,SEC-45 NOIDA",201303.0,12,Noida,23:00:00,,India,28.55,77.3534,06:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,lavi E- Rickshaw Repairing Centre,"{'latitude': 28.55, 'longitude': 77.3534}",06:00:00 - 23:00:00,6.0,Charging Station
"House no. 1, a khasra no. 595 and 275 ND- 110005",110005.0,40,New Delhi,22:00:00,,India,28.6646,77.173,08:00:00,Cash/UPI,Staffed,20.0,,,,Battery Smart,Battery swapping,8055300400.0,Tilak Raj Parking,"{'latitude': 28.6646, 'longitude': 77.173}",08:00:00 - 22:00:00,20.0,Charging Station
"House no-804, Sec 26, Rohini,Delhi-110089",110089.0,20,New Delhi,22:00:00,,India,28.6646,77.173,06:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Shree Ram Parking,"{'latitude': 28.6646, 'longitude': 77.173}",06:00:00 - 22:00:00,10.0,Charging Station
"141, Peer baba basti, Jaitpur village, New Delhi- 110044",110044.0,20,New Delhi,20:00:00,,India,28.6754,77.2012,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Jyoti Enterprises,"{'latitude': 28.6754, 'longitude': 77.2012}",08:00:00 - 20:00:00,10.0,Charging Station
"F3JX+VF7, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002",122002.0,100,Gurgaon,22:00:00,,India,28.4822,77.0987,06:00:00,Cash/UPI,Staffed,50.0,,,,Battery Smart,Battery swapping,8055300400.0,Iguana Power,"{'latitude': 28.4822, 'longitude': 77.0987}",06:00:00 - 22:00:00,50.0,Charging Station
"House no. 418, kashmiri bagh, kishan ganj, ND - 110007",110007.0,12,New Delhi,23:00:00,,India,28.6654,77.1942,08:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Sushil Parking ,"{'latitude': 28.6654, 'longitude': 77.1942}",08:00:00 - 23:00:00,6.0,Charging Station
H block sec 11 pratap vihar vijay nagar,201009.0,12,Ghaziabad,23:00:00,,India,28.6796,77.206,06:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Ask Communication and Battery Dealer,"{'latitude': 28.6796, 'longitude': 77.206}",06:00:00 - 23:00:00,6.0,Charging Station
"3/3 A sec 44 ,noida ,block cb near some bazar",201303.0,20,Noida,23:00:00,,India,28.5549,77.3414,06:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Chauhan Parking,"{'latitude': 28.5549, 'longitude': 77.3414}",06:00:00 - 23:00:00,10.0,Charging Station
"B 58 ,Shyam park sahibabad ghaziabad.",201005.0,20,Ghaziabad,23:00:00,,India,28.6795,77.3651,06:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Nandini Enterprises,"{'latitude': 28.6795, 'longitude': 77.3651}",06:00:00 - 23:00:00,10.0,Charging Station
"H. No. - 150, double storey, near shyam medical store, welcome seelampur |||, north east, delhi- 110053.",110053.0,20,New Delhi,20:00:00,,India,28.6724,77.2731,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Ananya Trading Company,"{'latitude': 28.6724, 'longitude': 77.2731}",08:00:00 - 20:00:00,10.0,Charging Station
"G-30, Ganeshpuri, Sahibabad, Gzb, - 201005",201005.0,20,Ghaziabad,21:00:00,,India,28.6822,77.3382,07:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Bhati E- rickshaw parking,"{'latitude': 28.6822, 'longitude': 77.3382}",07:00:00 - 21:00:00,10.0,Charging Station
"N19A,201,JJColony ,Wazirpur,Delhi-110052",110052.0,20,New Delhi,22:00:00,,India,28.459,77.054,07:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Rehan Charging Point,"{'latitude': 28.459, 'longitude': 77.054}",07:00:00 - 22:00:00,10.0,Charging Station
"Raj roop plot no. 82, arjun nagar ext. ,Nd - 110041",110041.0,20,New Delhi,22:00:00,,India,28.6535,77.0703,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Hybrid fleet,"{'latitude': 28.6535, 'longitude': 77.0703}",08:00:00 - 22:00:00,10.0,Charging Station
"Kh no-1069 ,Village Bhalaswa,Delhi-110033",122015.0,40,New Delhi,22:00:00,,India,28.4421,77.0652,06:00:00,Cash/UPI,Staffed,20.0,,,,Battery Smart,Battery swapping,8055300400.0,Yadav Parking,"{'latitude': 28.4421, 'longitude': 77.0652}",06:00:00 - 22:00:00,20.0,Charging Station
30/487 cartoday ground floor dilshad garden,110095.0,20,New Delhi,21:00:00,,India,28.4555,77.0219,09:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Car Today ,"{'latitude': 28.4555, 'longitude': 77.0219}",09:00:00 - 21:00:00,10.0,Charging Station
"4/98, new vishwas nagar - 110032",110032.0,20,New Delhi,23:00:00,,India,28.6796,77.206,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Pal & Sons Charging Point,"{'latitude': 28.6796, 'longitude': 77.206}",08:00:00 - 23:00:00,10.0,Charging Station
"Gate no. 12, jama masjid complex, jama masjid , ND-110006",110006.0,12,New Delhi,22:00:00,,India,28.7129,77.1813,08:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,Rehmat Parking ,"{'latitude': 28.7129, 'longitude': 77.1813}",08:00:00 - 22:00:00,6.0,Charging Station
"Power House Rd, Block AD, Dakshini Pitampura, Pitam Pura, Delhi, 110034",110034.0,100,New Delhi,21:30:00,,India,28.708,77.1361,07:00:00,Cash/UPI,Staffed,50.0,,,,Battery Smart,Battery swapping,8055300400.0,Tata Power PP1,"{'latitude': 28.708, 'longitude': 77.1361}",07:00:00 - 21:30:00,50.0,Charging Station
"Bhalswa Dairy, Jahangirpura, New Delhi, 110045",110045.0,20,New Delhi,21:00:00,,India,28.7471,77.1629,08:00:00,Cash/UPI,Staffed,10.0,,,,Battery Smart,Battery swapping,8055300400.0,Aniket E Rickshaw Swapping Point,"{'latitude': 28.7471, 'longitude': 77.1629}",08:00:00 - 21:00:00,10.0,Charging Station
"Plot no 1, Khasra no 4//3, Shiv Vihar, Delhi-110041",110041.0,12,New Delhi,22:00:00,,India,28.6469,77.0529,08:00:00,Cash/UPI,Staffed,6.0,,,,Battery Smart,Battery swapping,8055300400.0,ML Parking ,"{'latitude': 28.6469, 'longitude': 77.0529}",08:00:00 - 22:00:00,6.0,Charging Station
Noida-Etgo-Motors,,,,,,,28.62621,77.37596,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Franchise-Charu-Goel-Chetan-Goel,,,,,,,28.60182,77.39409,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-59,,,,,,,28.6028971,77.3738405,,,,,,,,,,,,,,,Battery Swapping Station
NOI-PVT-B-Block-Sector-64,,,,,,,28.60258,77.37556,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector59-2,,,,,,,28.6028971,77.3738405,,,,,,,,,,,,,,,Battery Swapping Station
NOI-FRN-Chaura-Raghunathpur-Block-D,,,,,,,28.597444,77.348618,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-51,,,,,,,28.58351,77.371853,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Vivek-Chauhan-Gazipur,,,,,,,28.603758,77.377876,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Zyngo-Parking,,,,,,,28.602705,77.37814,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-63,,,,,,,28.628606,77.392305,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Noida-Major-Anurag,,,,,,,28.59325,77.37247,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Noida-Sagar-Automobiles,,,,,,,28.583849,77.3112,,,,,,,,,,,,,,,Battery Swapping Station
Noida-73-Jaipal-Charan-Singh,,,,,,,28.588056,77.38047,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Franchise-Saurabh-Sharma,,,,,,,28.618508,77.398851,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Franchise-Sourabh-Bhatia,,,,,,,28.601699,77.39402,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Gaurav-Chauhan,,,,,,,28.559828,77.345725,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Mamura-Sector-59,,,,,,,28.601627,77.372975,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Megha-Sisodiya-sec-22,,,,,,,28.59738,77.349338,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Rahul-Verma-Sector-63,,,,,,,28.618508,77.398851,,,,,,,,,,,,,,,Battery Swapping Station
Noida-RN-Sports,,,,,,,28.628881,77.379048,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sec-22-Megha-Sisodiya,,,,,,,28.597091,77.3494,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-45,,,,,,,28.55277,77.353903,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-55,,,,,,,28.601958,77.348648,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-63,,,,,,,28.628606,77.392305,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-93,,,,,,,28.52337,77.382924,,,,,,,,,,,,,,,Battery Swapping Station
NOI-FRN-Chaukhandi-Basi-Bahuddin-Nagar-,,,,,,,28.60182,77.39409,,,,,,,,,,,,,,,Battery Swapping Station
NOI-STQ-Botanical-Garden-Metro-station,,,,,,,28.56424,77.33342,,,,,,,,,,,,,,,Battery Swapping Station
Noida-Sector-117,,,,,,,28.57039,77.399802,,,,,,,,,,,,,,,Battery Swapping Station
Faridabad-Sector-29-Bhoor-Colony,,,,,,,28.4281264,77.3225272,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Faridabad-Narain-Service-Station,,,,,,,28.424724,77.309441,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Sector-3-Rohini,,,,,,,28.704765,77.107268,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Raghubir-Nagar-Tagor-Gardenext,,,,,,,28.654322,77.113672,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Old-Anarkali-Ram-Nagar,,,,,,,28.653504,77.288495,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Naresh-Narela,,,,,,,28.851182,77.070133,,,,,,,,,,,,,,,Battery Swapping Station
DEL_FRN_Maharishi_Valmiki_Marg_Mangolpuri,,,,,,,28.696117,77.088612,,,,,,,,,,,,,,,Battery Swapping Station
DEL-IOC-AKAASH-AUTO-CENTRE-Swasthya-Vihar,,,,,,,28.640207,77.285149,,,,,,,,,,,,,,,Battery Swapping Station
DEL-STQ-Seelampur-Metro-Station,,,,,,,28.67055,77.26646,,,,,,,,,,,,,,,Battery Swapping Station
DEL-IOC-Salochna-Filling-station-Tyagi-Vihar,,,,,,,28.68966,76.99373,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Peer-Baba-Basti-Jaitpur,,,,,,,28.508537,77.329905,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Dhawan,,,,,,,28.65269,77.110447,,,,,,,,,,,,,,,Battery Swapping Station
DEL-IOC-Aman-Fill-Point-Mayur-vihar-Ph-I,,,,,,,28.621683,77.30175,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Uday-Vihar-2-Kamruddin-Nagar,,,,,,,28.65922,77.06479,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Kulbir-Singh-Chattarpur,,,,,,,28.4980856,77.1800796,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Metro-Shadipur,,,,,,,28.6520417,77.1584976,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Metro-Harkesh-Nagar-SmartE,,,,,,,28.54312,77.275209,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Metro-Shadipur-SmartE,,,,,,,28.651764,77.158221,,,,,,,,,,,,,,,Battery Swapping Station
DEL-BYP-Metro-Depot-Ghazipur,,,,,,,28.62646,77.32124,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Mayur-Vihar-Phase-3,,,,,,,28.60265,77.31857,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Mayur-Vihar-Phase-3,,,,,,,28.60265,77.31857,,,,,,,,,,,,,,,Battery Swapping Station
DEL-STQ-Nangloi-Metro-station,,,,,,,28.68229,77.0648,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Uttam-Nagar-USP,,,,,,,28.63554,77.0613,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Sarai-Kale-Khan-Expo,,,,,,,28.583117,77.2607511,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Madanpur-Khadar,,,,,,,28.53381,77.30977,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Samaypur-Badli,,,,,,,28.739741,77.139314,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Vicky-Charging-Parking,,,,,,,28.66147,77.18326,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Indira-Gandhi-Terminal-3,,,,,,,28.55662,77.085012,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Sector-24-Rohini,,,,,,,28.729868,77.091049,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Inderlok-Rohit-2,,,,,,,28.66687,77.16522,,,,,,,,,,,,,,,Battery Swapping Station
DEL-BYPL-Kaithwara-Jagjivan-Nagar-Shahdara,,,,,,,28.678465,77.257801,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Delhi-Irwin-Road,,,,,,,28.629231,77.212608,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Rithala-Tanishk,,,,,,,28.72378,77.09458,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-GoMechanic-Dwarka-Bamnoli,,,,,,,28.54615,77.03616,,,,,,,,,,,,,,,Battery Swapping Station
DEL-IOC-Motor-Ad-Hoc-Library-Ave-Pusa,,,,,,,28.64056,77.17341,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Essar,,,,,,,28.684423,77.144928,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Karawal-Nagar,,,,,,,28.732764,77.260403,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-JJ-Colony-Bawana,,,,,,,28.80751,77.0511,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Shani-Bazar-Road-Jain-Colony,,,,,,,28.754419,77.072639,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Pahar-Ganj,,,,,,,28.6454732,77.206323,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Sector-18-Rohini,,,,,,,28.740156,77.139758,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Gurvinder-Chander-Vihar,,,,,,,28.651239,77.06829,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Raja-Vihar,,,,,,,28.74935,77.13055,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-ECO-Express-Dwarka,,,,,,,28.541,77.017,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-BRPL-Sarita-Vihar-H-Block,,,,,,,28.53538,77.291335,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Jyoti-Enterprises,,,,,,,28.508417,77.329687,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Owl-Enterprises,,,,,,,28.6251,77.139182,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Mama-Ji-E-Parking,,,,,,,28.6465586,77.090175,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Novace-Private-Limited-Palam,,,,,,,28.58345,77.07701,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Rajesh-Parking-Sultanpuri,,,,,,,28.694441,77.082973,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Kirari,,,,,,,28.543495,77.275671,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Ajay-Kumar-Nayak,,,,,,,28.651038,77.209382,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Jai-Balaji-Enterprises,,,,,,,28.69508,77.26628,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-RTO-OFFICE-DEMO,,,,,,,28.73101,77.194704,,,,,,,,,,,,,,,Battery Swapping Station
Sincere-Motors-Delhi,,,,,,,28.5401582,77.2768156,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Rohini-West,,,,,,,28.709989,77.112942,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Wazirabad,,,,,,,28.727634,77.222412,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Rithala-Tanishk,,,,,,,28.723781,77.094584,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Shahdara,,,,,,,28.72789,77.16205,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Aasha-Enterprises,,,,,,,28.7106739,77.0867421,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Delhi-Shankar-Auto-GoleMarket,,,,,,,28.63123703,77.2057096,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Anil-Uttamnagar,,,,,,,28.63554,77.0613,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Dharamveer-Mayur-Vihar,,,,,,,28.59631,77.303,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Delhi-Deepak,,,,,,,28.669578,77.322844,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Budh-Vihar-Ph-II-Rohini,,,,,,,28.7106222,77.0869417,,,,,,,,,,,,,,,Battery Swapping Station
DEL-IOCL-Hare-Krishna-Fuels-Mehrauli,,,,,,,28.49504,77.15094,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Delhi-Irwin-Road-Baba-Kharak-Singh-Marg,,,,,,,28.629231,77.212608,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Ayush-Enterprises,,,,,,,28.60959,77.07941,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-BYPL-Trilokpuri-West,,,,,,,28.60524,77.30534,,,,,,,,,,,,,,,Battery Swapping Station
IOCL-Delhi-Rajkumar,,,,,,,28.544261,77.201672,,,,,,,,,,,,,,,Battery Swapping Station
DEL-FRN-Nala-Rd-Shiv-Vihar-Hastsal,,,,,,,28.6499,77.05003,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Bharat-Mobility-Global-Expo,,,,,,,28.617606,77.244417,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Guru-Kirpa,,,,,,,28.72031,77.09479,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-ExpressEV-USP-2,,,,,,,28.649899,77.050026,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Motibagh,,,,,,,28.57263,77.16953,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Bhushanji-Enterprises,,,,,,,28.6703976,77.2022928,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Singh-Automobiles,,,,,,,28.65922,77.11208,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Pawan-Company,,,,,,,28.722596,77.101808,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Samalka-Ajay,,,,,,,28.5353262,77.0909481,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Rajkumar-Palam-Soraj-Enterprises,,,,,,,28.5914339,77.0886103,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-R-S-Metal-Traders,,,,,,,28.764332,77.173763,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Malik-Shastri-Park,,,,,,,28.672503,77.255435,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Madhu-Jain-Singh-Automobiles,,,,,,,28.65712,77.11046,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Shri-Prapti2,,,,,,,28.605502,77.103896,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Mahak-Enterprises,,,,,,,28.6715754,77.2671767,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Bharat-Hydraulic,,,,,,,28.735439,77.196475,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Chanchal-E-rickshaw,,,,,,,28.689602,77.29902,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-BABA-E-RIKSHA-ENTERPRISES,,,,,,,28.698391,77.129274,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Arora-Battery-Motors,,,,,,,28.704802,77.107206,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Ashirwad-E-Rickshaw-Batteries-2,,,,,,,28.70971,77.17581,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Samaypur-Badli,,,,,,,28.739741,77.139314,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Pancha-Enterprises,,,,,,,28.615258,77.078539,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-USP-Enterprise-2,,,,,,,28.653273,77.073747,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Porwal-Agency-Uttam-Nagar,,,,,,,28.600868,77.066221,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Mangolpuri-Baba-Rickshaw2,,,,,,,28.696533,77.096344,,,,,,,,,,,,,,,Battery Swapping Station
Delhi-Guru-ji-Wheel,,,,,,,28.6465499,77.0894709,,,,,,,,,,,,,,,Battery Swapping Station
